scope_type,scope_value,model,model_short_name,threshold_role,reference_quantile,threshold_gap,n_diverging_in_scope,n_high_gap_diverging,operational_overconfident_disagreement_rate,wilson_95_ci_lower_fixed_threshold,wilson_95_ci_upper_fixed_threshold,n_strict_majority_in_scope,n_high_gap_strict_majority,n_high_gap_and_majority_correct,n_high_gap_and_majority_wrong,wrong_fraction_among_high_gap_strict_majority,rate_definition,threshold_uncertainty_in_ci,exploratory
overall,All diverging,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,200,64,0.32000000000000001,0.25926533315468053,0.38751898434113546,144,44,35,9,0.20454545454545456,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with strict majority,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,144,44,0.30555555555555558,0.23618327134170236,0.38503258754725644,144,44,35,9,0.20454545454545456,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with no strict majority,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,56,20,0.35714285714285715,0.24456571707649905,0.48806112198600488,0,0,0,0,,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Open QA,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,40,13,0.32500000000000001,0.200845022317827,0.47982253810122333,31,11,9,2,0.18181818181818182,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Generation,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,35,10,0.2857142857142857,0.16326536236434688,0.45054934863182616,26,8,8,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Coding,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,35,14,0.40000000000000002,0.25550728859380589,0.56427290987107492,22,7,4,3,0.42857142857142855,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Chat,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,35,8,0.22857142857142856,0.12065879834191687,0.3901731689199025,26,6,4,2,0.33333333333333331,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Brainstorm,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,35,12,0.34285714285714286,0.20831694987048957,0.50848050486003737,25,7,7,0,0,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
sampling_stratum,Closed QA,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,sensitivity_q50,0.5,8.1064453125,20,7,0.34999999999999998,0.18119182410108209,0.56714572331476365,14,5,3,2,0.40000000000000002,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
overall,All diverging,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,primary_q75,0.75,14.91912841796875,200,25,0.125,0.086119744757126443,0.17801425002582347,144,17,14,3,0.17647058823529413,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
human_majority_status,Diverging with strict majority,Skywork-Reward-Llama-3.1-8B-v0.2,skywork,primary_q75,0.75,14.91912841796875,144,17,0.11805555555555555,0.075028301971760636,0.18093142084583685,144,17,14,3,0.17647058823529413,P(gap >= model-specific high-agreement quantile threshold | diverging),False,True
